account_id,customer_id,account_type,opening_date,balance,status,interest_rate,currency,branch_code
ACC802873,CUS32834,Savings,2020-08-09,552441.76,Active,3.94,ZAR,275064
ACC890681,CUS32834,Investment,2020-02-05,151056.27,Active,6.45,ZAR,233580
ACC521132,CUS90730,Investment,2022-02-19,659089.11,Active,8.74,ZAR,221999
ACC192868,CUS90730,Current,2024-11-16,964117.74,Closed,8.59,ZAR,205316
ACC135597,CUS89677,Savings,2023-09-13,944241.56,Active,4.57,ZAR,287656
ACC308142,CUS89677,Investment,2023-03-01,425253.64,Active,11.11,ZAR,263503
ACC574363,CUS89677,Credit Card,2024-11-07,915744.38,Dormant,3.78,ZAR,280180
ACC643195,CUS89677,Savings,2021-04-26,402691.07,Dormant,7.4,ZAR,235964
ACC466149,CUS62214,Current,2021-10-22,102036.15,Closed,8.33,ZAR,247317
ACC553343,CUS62214,Current,2021-12-04,698920.25,Closed,9.14,ZAR,294992
ACC840868,CUS62214,Home Loan,2024-04-30,820416.44,Active,9.66,ZAR,202655
ACC954421,CUS43697,Current,2020-01-03,808659.98,Dormant,7.25,ZAR,298768
ACC814291,CUS52174,Current,2022-04-06,900540.66,Active,7.04,ZAR,284081
ACC831607,CUS99469,Savings,2020-06-06,37987.23,Active,8.57,ZAR,220035
ACC979396,CUS99469,Investment,2023-07-28,917303.62,Active,8.84,ZAR,208925
ACC469916,CUS99469,Credit Card,2024-09-10,767022.48,Dormant,9.35,ZAR,271797
ACC949262,CUS99858,Home Loan,2023-06-10,108145.59,Active,10.05,ZAR,269814
ACC317834,CUS99858,Savings,2022-12-11,25312.11,Closed,9.53,ZAR,233437
ACC956729,CUS16909,Current,2021-12-11,229373.13,Active,3.52,ZAR,251750
ACC392038,CUS16909,Savings,2021-10-14,761815.71,Active,7.9,ZAR,254325
ACC552706,CUS75193,Home Loan,2023-09-05,92609.61,Active,10.94,ZAR,250855
ACC599386,CUS75193,Current,2023-10-03,430043.75,Closed,6.15,ZAR,269895
ACC697497,CUS75193,Current,2022-06-04,864741.1,Active,4.85,ZAR,204984
ACC264677,CUS97664,Investment,2023-05-08,172720.79,Active,10.35,ZAR,250846
ACC632485,CUS97664,Credit Card,2021-09-15,132951.1,Active,5.13,ZAR,267804
ACC488557,CUS97664,Home Loan,2024-09-26,103763.59,Closed,7.39,ZAR,209136
ACC624802,CUS97664,Investment,2022-11-17,404152.93,Dormant,6.98,ZAR,240443
ACC806598,CUS27947,Home Loan,2020-09-28,372796.28,Active,6.26,ZAR,260440
ACC195988,CUS27947,Investment,2023-06-15,359789.19,Closed,8.61,ZAR,262164
ACC652987,CUS42174,Savings,2023-03-20,817322.61,Active,9.72,ZAR,222594
ACC423656,CUS42174,Investment,2024-04-09,795092.87,Active,6.13,ZAR,202312
ACC139579,CUS90534,Investment,2020-03-19,953671.6,Closed,8.59,ZAR,235504
ACC247530,CUS90534,Home Loan,2022-05-20,52091.81,Active,10.46,ZAR,247872
ACC696010,CUS71875,Investment,2023-04-05,325140.07,Active,8.2,ZAR,280837
ACC351094,CUS76970,Current,2020-10-13,841211.65,Dormant,10.82,ZAR,298115
ACC726587,CUS76970,Savings,2021-11-05,219715.44,Active,7.87,ZAR,224039
ACC174229,CUS76970,Savings,2024-09-11,990083.08,Dormant,8.25,ZAR,250376
ACC212155,CUS32145,Investment,2022-12-20,812696.71,Active,5.94,ZAR,261288
ACC405181,CUS32145,Home Loan,2022-06-14,77349.96,Closed,10.8,ZAR,249687
ACC472195,CUS41741,Home Loan,2022-01-09,28261.09,Dormant,5.71,ZAR,267050
ACC551727,CUS41741,Investment,2020-05-17,763968.22,Dormant,7.93,ZAR,258526
ACC168085,CUS67536,Savings,2024-10-08,390054.48,Active,11.29,ZAR,262902
ACC956156,CUS67536,Investment,2021-12-11,78515.98,Active,6.2,ZAR,255499
ACC770362,CUS25813,Current,2021-10-19,437746.84,Active,5.35,ZAR,245400
ACC435725,CUS25813,Home Loan,2023-10-08,312892.46,Active,8.01,ZAR,208204
ACC786725,CUS25813,Credit Card,2023-03-07,641696.72,Active,7.45,ZAR,259243
ACC328986,CUS41265,Savings,2020-08-15,644346.71,Active,10.55,ZAR,200965
ACC526791,CUS27697,Current,2021-03-28,434418.4,Active,10.38,ZAR,249412
ACC487379,CUS56237,Investment,2023-08-24,877615.48,Closed,10.44,ZAR,269428
ACC553098,CUS56237,Credit Card,2022-05-16,94658.61,Active,10.78,ZAR,270603
ACC808693,CUS56237,Credit Card,2024-03-11,466232.08,Active,4.55,ZAR,252016
ACC492313,CUS42320,Savings,2024-04-01,91289.54,Dormant,7.65,ZAR,200529
ACC203768,CUS31751,Current,2021-02-28,982661.27,Active,5.93,ZAR,225804
ACC842890,CUS31751,Savings,2022-03-10,476938.65,Active,8.01,ZAR,200342
ACC409977,CUS57695,Home Loan,2022-06-14,874413.97,Active,7.78,ZAR,204618
ACC261439,CUS57695,Credit Card,2023-08-21,205532.05,Active,10.11,ZAR,216260
ACC623298,CUS57695,Credit Card,2020-07-31,706955.92,Dormant,6.23,ZAR,282041
ACC416944,CUS57695,Investment,2024-06-18,635306.27,Closed,9.61,ZAR,299884
ACC361135,CUS98088,Current,2021-08-25,451473.65,Active,3.82,ZAR,264835
ACC710447,CUS98088,Credit Card,2024-03-19,52908.98,Active,11.86,ZAR,295989
ACC675842,CUS98088,Investment,2024-05-24,224280.37,Active,4.71,ZAR,201056
ACC639598,CUS98088,Investment,2021-06-19,637716.0,Closed,5.15,ZAR,209076
ACC306248,CUS36458,Current,2022-12-25,703944.25,Active,11.59,ZAR,203366
ACC182787,CUS36458,Home Loan,2023-01-26,872748.97,Active,9.32,ZAR,281117
ACC990877,CUS36458,Savings,2024-10-11,667946.09,Dormant,11.28,ZAR,221028
ACC464246,CUS36458,Credit Card,2021-08-24,391369.22,Active,7.34,ZAR,287915
ACC471410,CUS25487,Savings,2022-03-17,88070.41,Dormant,4.11,ZAR,254569
ACC108079,CUS18331,Current,2022-04-24,526897.94,Active,5.43,ZAR,225550
ACC639605,CUS18331,Investment,2020-03-06,558477.08,Active,5.97,ZAR,254213
ACC998912,CUS18331,Investment,2021-06-12,809422.54,Active,5.34,ZAR,276494
ACC627596,CUS18331,Current,2022-10-14,524007.54,Active,4.82,ZAR,289353
ACC588852,CUS95213,Current,2023-10-04,163949.98,Active,9.6,ZAR,271255
ACC878284,CUS95213,Savings,2023-01-15,671439.82,Active,9.35,ZAR,207274
ACC999856,CUS49804,Current,2021-11-02,827969.42,Active,9.5,ZAR,214475
ACC688429,CUS49804,Savings,2024-02-19,967689.78,Closed,7.25,ZAR,258542
ACC826609,CUS49804,Credit Card,2020-09-01,971757.03,Dormant,5.97,ZAR,200321
ACC460256,CUS49804,Home Loan,2020-11-29,246065.84,Active,5.65,ZAR,225995
ACC255820,CUS26812,Home Loan,2020-12-20,797637.8,Active,5.88,ZAR,276513
ACC650138,CUS65286,Current,2023-04-05,445089.34,Closed,7.97,ZAR,280290
ACC769221,CUS86251,Credit Card,2023-05-29,384273.01,Active,4.39,ZAR,226655
ACC300677,CUS86251,Savings,2023-11-05,107732.78,Closed,5.93,ZAR,268724
ACC921435,CUS86251,Current,2021-10-23,633342.67,Dormant,11.2,ZAR,259324
ACC551421,CUS64305,Home Loan,2021-10-01,18928.31,Dormant,5.48,ZAR,230818
ACC632597,CUS64305,Credit Card,2023-09-06,997978.08,Active,5.9,ZAR,287110
ACC730848,CUS64305,Home Loan,2020-07-15,852697.77,Active,8.42,ZAR,276853
ACC618376,CUS64305,Home Loan,2023-08-23,565685.9,Active,8.32,ZAR,223583
ACC110915,CUS37268,Investment,2021-07-01,489353.64,Dormant,5.48,ZAR,280622
ACC139265,CUS37268,Current,2020-11-13,182770.46,Closed,4.82,ZAR,218065
ACC319386,CUS37268,Home Loan,2020-03-12,838729.99,Dormant,7.77,ZAR,249444
ACC518176,CUS28623,Credit Card,2023-09-05,49017.66,Closed,4.93,ZAR,224075
ACC155688,CUS28623,Current,2021-09-16,753469.47,Dormant,5.31,ZAR,294750
ACC545837,CUS28623,Savings,2020-04-09,23896.02,Closed,3.5,ZAR,283579
ACC843798,CUS27227,Savings,2020-01-13,8083.79,Active,5.83,ZAR,273424
ACC127688,CUS30015,Current,2022-09-15,979401.69,Active,6.04,ZAR,231679
ACC273590,CUS30015,Savings,2020-08-24,608747.13,Active,7.66,ZAR,297794
ACC685604,CUS30015,Investment,2024-09-08,949306.4,Active,6.58,ZAR,278502
ACC894492,CUS30015,Savings,2022-07-31,737500.16,Closed,10.57,ZAR,210303
ACC441795,CUS82885,Home Loan,2020-06-17,172514.08,Dormant,5.21,ZAR,233446
ACC916799,CUS82885,Credit Card,2020-08-21,414811.27,Active,11.85,ZAR,230175
ACC208115,CUS82885,Credit Card,2023-02-25,159186.51,Active,11.84,ZAR,227596
ACC643021,CUS49363,Savings,2021-07-10,847259.48,Dormant,7.26,ZAR,228787
ACC475544,CUS42459,Savings,2020-05-13,802749.98,Active,11.46,ZAR,280135
ACC377944,CUS42459,Current,2021-12-04,107868.86,Active,11.07,ZAR,250658
ACC228418,CUS42459,Current,2024-10-20,451046.56,Active,9.34,ZAR,229217
ACC679604,CUS44887,Home Loan,2021-07-23,107921.86,Dormant,3.93,ZAR,217735
ACC530737,CUS68003,Investment,2021-02-26,42043.51,Dormant,5.94,ZAR,282907
ACC946456,CUS68003,Credit Card,2022-11-29,327580.28,Active,6.48,ZAR,262488
ACC128610,CUS68003,Credit Card,2024-07-22,303935.61,Active,11.73,ZAR,283601
ACC270857,CUS60382,Current,2022-02-03,996222.25,Active,7.26,ZAR,246851
ACC953314,CUS97550,Home Loan,2023-08-03,796625.73,Active,10.54,ZAR,250069
ACC893703,CUS69325,Investment,2022-02-03,30892.35,Active,5.67,ZAR,200180
ACC236408,CUS69325,Current,2020-10-08,756484.37,Closed,6.76,ZAR,219013
ACC635014,CUS69325,Investment,2020-02-06,108974.44,Active,7.02,ZAR,207361
ACC238390,CUS69325,Investment,2020-11-30,694090.55,Active,5.87,ZAR,225207
ACC993223,CUS10298,Home Loan,2023-11-24,349747.13,Closed,8.15,ZAR,252668
ACC424037,CUS10298,Credit Card,2024-07-22,901570.75,Active,7.18,ZAR,248222
ACC304704,CUS10298,Credit Card,2021-05-18,834976.13,Active,11.21,ZAR,259370
ACC442391,CUS10298,Current,2021-06-26,792040.15,Active,4.42,ZAR,207038
ACC783747,CUS57122,Savings,2024-01-13,244958.15,Active,8.38,ZAR,287499
ACC959454,CUS73507,Credit Card,2022-03-27,238094.49,Active,9.84,ZAR,228296
ACC870334,CUS73507,Savings,2020-02-17,678273.51,Active,6.71,ZAR,295697
ACC356924,CUS73507,Credit Card,2024-06-10,43642.56,Dormant,5.67,ZAR,247580
ACC355706,CUS20989,Current,2024-10-16,166506.39,Closed,8.97,ZAR,216800
ACC678184,CUS20989,Current,2022-04-09,37710.1,Dormant,7.63,ZAR,202995
ACC986370,CUS15841,Home Loan,2024-05-06,705059.99,Dormant,9.93,ZAR,268975
ACC275533,CUS15841,Investment,2020-02-03,819536.4,Active,5.26,ZAR,283004
ACC689338,CUS22888,Savings,2020-09-08,114246.26,Active,3.73,ZAR,278366
ACC723801,CUS22888,Home Loan,2022-10-24,911826.96,Active,9.97,ZAR,269198
ACC481661,CUS22888,Home Loan,2022-09-19,491322.75,Dormant,4.49,ZAR,213212
ACC448198,CUS85891,Current,2022-01-02,104928.15,Active,10.59,ZAR,259822
ACC767169,CUS85891,Credit Card,2020-07-19,428186.28,Active,8.52,ZAR,235928
ACC737551,CUS85891,Credit Card,2020-01-30,754789.64,Active,9.52,ZAR,272696
ACC231133,CUS85891,Investment,2020-10-27,308532.98,Closed,9.07,ZAR,238843
ACC788558,CUS93595,Credit Card,2021-01-19,114460.81,Dormant,5.92,ZAR,284244
ACC211207,CUS93595,Current,2024-07-06,798078.2,Active,8.78,ZAR,260047
ACC508684,CUS93595,Investment,2023-12-12,843699.85,Closed,11.54,ZAR,247437
ACC283491,CUS36838,Investment,2020-01-06,209343.59,Active,4.95,ZAR,203238
ACC660125,CUS36838,Home Loan,2020-11-08,79245.83,Closed,4.66,ZAR,247982
ACC524054,CUS36838,Current,2021-08-14,444470.24,Active,9.76,ZAR,269547
ACC694902,CUS53927,Investment,2023-03-28,700916.09,Dormant,9.1,ZAR,255887
ACC632539,CUS18162,Credit Card,2021-07-09,83753.66,Closed,11.37,ZAR,268536
ACC237931,CUS18162,Credit Card,2024-02-09,575813.29,Active,9.75,ZAR,273796
ACC887799,CUS18162,Current,2020-10-27,688546.91,Closed,9.61,ZAR,226567
ACC303361,CUS27078,Savings,2020-05-21,288381.99,Active,8.79,ZAR,205059
ACC615268,CUS27078,Home Loan,2022-11-17,885160.73,Closed,11.31,ZAR,221448
ACC134664,CUS27078,Home Loan,2023-06-14,241205.47,Dormant,5.86,ZAR,272140
ACC762418,CUS27078,Credit Card,2021-09-21,328730.35,Active,9.65,ZAR,264720
ACC761504,CUS56945,Current,2021-08-09,345150.85,Active,5.44,ZAR,299344
ACC393499,CUS56945,Current,2020-09-07,927115.73,Dormant,10.8,ZAR,288458
ACC835298,CUS56945,Credit Card,2023-12-07,573067.19,Active,10.39,ZAR,256148
ACC279312,CUS83614,Savings,2021-11-16,9900.42,Active,5.06,ZAR,202795
ACC757732,CUS83614,Current,2020-06-07,71988.33,Active,8.71,ZAR,218340
ACC183506,CUS83614,Savings,2024-06-04,887036.31,Dormant,10.67,ZAR,227356
ACC975632,CUS83614,Savings,2020-07-29,468057.49,Dormant,9.25,ZAR,204320
ACC975760,CUS33228,Investment,2023-09-15,470242.6,Active,10.13,ZAR,256494
ACC781452,CUS33228,Home Loan,2023-09-11,534416.33,Dormant,7.25,ZAR,250807
ACC947664,CUS33228,Home Loan,2022-07-27,706534.84,Dormant,6.72,ZAR,283323
ACC689010,CUS39032,Investment,2022-03-13,58769.69,Closed,4.05,ZAR,257178
ACC921067,CUS39032,Current,2022-07-05,220328.27,Dormant,9.49,ZAR,275301
ACC350478,CUS39032,Home Loan,2024-01-11,255066.96,Closed,4.34,ZAR,298846
ACC314582,CUS39731,Current,2024-07-09,900095.79,Closed,7.1,ZAR,212425
ACC418170,CUS39731,Home Loan,2022-06-03,39907.56,Active,9.22,ZAR,295343
ACC547102,CUS39731,Savings,2022-07-04,790221.82,Dormant,3.58,ZAR,201544
ACC420556,CUS39731,Credit Card,2020-08-06,53020.81,Closed,6.73,ZAR,251038
ACC175422,CUS45862,Home Loan,2022-11-13,349082.05,Closed,10.52,ZAR,288670
ACC931091,CUS45862,Savings,2023-06-23,508882.07,Active,6.97,ZAR,297265
ACC754375,CUS59186,Credit Card,2020-08-17,895660.94,Active,5.95,ZAR,255594
ACC946689,CUS15015,Home Loan,2021-09-11,14299.85,Dormant,10.08,ZAR,223230
ACC559550,CUS15015,Investment,2021-01-17,564196.07,Active,9.92,ZAR,208579
ACC812831,CUS13734,Current,2024-01-30,286177.33,Active,5.35,ZAR,240703
ACC459638,CUS13734,Savings,2023-12-02,407438.86,Closed,5.98,ZAR,236096
ACC848700,CUS13734,Investment,2024-09-19,88177.32,Dormant,4.97,ZAR,218310
ACC101521,CUS29633,Current,2020-03-06,903983.25,Active,7.88,ZAR,285953
ACC975957,CUS72429,Home Loan,2020-11-26,679062.88,Active,7.42,ZAR,216567
ACC303607,CUS83327,Credit Card,2023-10-16,897808.97,Active,4.69,ZAR,207955
ACC165174,CUS51081,Investment,2022-06-28,120257.89,Dormant,8.35,ZAR,270299
ACC945231,CUS51081,Current,2024-10-21,856514.01,Active,9.18,ZAR,219825
ACC676915,CUS51081,Credit Card,2022-11-06,749830.51,Active,8.75,ZAR,221040
ACC324937,CUS89184,Savings,2020-05-29,857638.22,Dormant,8.84,ZAR,249623
ACC785941,CUS89184,Credit Card,2022-12-28,723145.59,Closed,11.72,ZAR,262650
ACC552301,CUS67773,Investment,2024-07-03,322572.66,Active,3.51,ZAR,236191
ACC332587,CUS67773,Credit Card,2024-02-28,192984.32,Active,10.8,ZAR,211700
ACC124155,CUS67773,Savings,2023-11-14,775731.07,Active,7.35,ZAR,251981
ACC105620,CUS67773,Savings,2024-11-03,954583.72,Active,8.89,ZAR,218048
ACC654758,CUS85178,Current,2020-01-30,281229.3,Active,10.52,ZAR,253005
ACC943010,CUS67396,Investment,2021-12-02,343563.59,Closed,5.02,ZAR,280297
ACC329318,CUS67396,Home Loan,2020-09-05,694432.83,Dormant,5.4,ZAR,203559
ACC407311,CUS67396,Home Loan,2021-07-20,895157.82,Active,7.54,ZAR,283184
ACC869393,CUS52359,Current,2024-07-25,466401.79,Closed,11.59,ZAR,243923
ACC665676,CUS52359,Investment,2024-11-08,310156.65,Active,4.75,ZAR,260192
