customer_id,first_name,last_name,id_number,date_of_birth,gender,email,phone_number,province,city,postal_code,income_bracket,employment_status,credit_score
CUS32834,Ashley,White,6607028188,1966-05-09,F,ashley.white@yahoo.com,+270783620414,Western Cape,Johannesburg,8779,0-100K,Employed,619
CUS90730,Susan,Woods,7110182188,1942-12-18,F,susan.woods@outlook.com,+270831496627,Eastern Cape,Pretoria,1545,0-100K,Student,694
CUS89677,Anthony,Vazquez,8004146189,1954-03-14,F,anthony.vazquez@outlook.com,+270748776377,Western Cape,Port Elizabeth,1313,0-100K,Retired,500
CUS62214,Rachael,Finley,9105211080,1944-09-29,F,rachael.finley@outlook.com,+270843825384,Mpumalanga,Kimberley,9325,1M+,Retired,756
CUS43697,Randy,Solomon,9905062186,1988-05-05,F,randy.solomon@gmail.com,+270672713851,Mpumalanga,Durban,7624,1M+,Student,671
CUS52174,Diana,Hale,6811087186,1995-06-21,M,diana.hale@outlook.com,+270832909259,Limpopo,Durban,5700,0-100K,Retired,396
CUS99469,Cynthia,Jackson,6401106086,1944-01-14,M,cynthia.jackson@outlook.com,+270718822094,Eastern Cape,Johannesburg,7157,1M+,Retired,577
CUS99858,Linda,Morris,6502165085,1987-12-26,F,linda.morris@outlook.com,+270645475515,KwaZulu-Natal,Kimberley,2887,100K-250K,Student,596
CUS16909,Steven,Collins,9002271181,1979-06-28,M,steven.collins@outlook.com,+270835394643,Eastern Cape,Polokwane,5669,0-100K,Self-employed,433
CUS75193,Ashley,Harris,6712047085,1938-12-08,F,ashley.harris@yahoo.com,+270796312629,North West,East London,2270,100K-250K,Student,358
CUS97664,Jerry,Cox,6508111087,1999-06-30,F,jerry.cox@outlook.com,+270689742280,North West,Johannesburg,4490,1M+,Employed,849
CUS27947,Carrie,Trevino,9303063185,1998-08-26,M,carrie.trevino@outlook.com,+270651671861,KwaZulu-Natal,Cape Town,7641,100K-250K,Self-employed,508
CUS42174,William,Valdez,6107124183,1979-01-12,M,william.valdez@gmail.com,+270848307340,Gauteng,Port Elizabeth,3718,500K-1M,Self-employed,347
CUS90534,Deanna,Young,7302156081,1978-04-07,M,deanna.young@yahoo.com,+270659070148,Eastern Cape,Bloemfontein,6239,1M+,Self-employed,714
CUS71875,Todd,Clark,6711221187,2006-04-20,F,todd.clark@gmail.com,+270725019196,Western Cape,Bloemfontein,7707,500K-1M,Employed,491
CUS76970,Kaitlin,Vaughan,9008125189,1983-04-01,F,kaitlin.vaughan@gmail.com,+270626457101,Mpumalanga,Port Elizabeth,4240,1M+,Student,772
CUS32145,Nicole,Martinez,9802151187,1976-06-18,F,nicole.martinez@outlook.com,+270681417117,North West,Polokwane,7665,100K-250K,Employed,504
CUS41741,Austin,Hampton,8606123086,1963-12-23,F,austin.hampton@outlook.com,+270810365643,Western Cape,Durban,8797,0-100K,Self-employed,310
CUS67536,Gloria,Garcia,8906222086,1985-04-27,F,gloria.garcia@outlook.com,+270742466693,Mpumalanga,East London,8123,0-100K,Self-employed,826
CUS25813,Megan,Williams,6305079081,1958-04-06,M,megan.williams@gmail.com,+270767324283,Gauteng,Port Elizabeth,4334,1M+,Student,460
CUS41265,Peter,Myers,7109151182,2000-12-19,F,peter.myers@yahoo.com,+270745734579,KwaZulu-Natal,Durban,6750,100K-250K,Retired,767
CUS27697,Dillon,Jenkins,8303105086,1995-12-18,F,dillon.jenkins@outlook.com,+270664510152,Free State,Pretoria,8261,1M+,Student,594
CUS56237,Crystal,Adams,8605017083,1958-11-30,M,crystal.adams@gmail.com,+270780434203,Mpumalanga,Nelspruit,6824,100K-250K,Student,833
CUS42320,Michael,Bell,8104250186,1966-11-21,F,michael.bell@yahoo.com,+270614708114,Eastern Cape,East London,4786,100K-250K,Student,438
CUS31751,Gary,Kelly,6609197180,1958-09-30,M,gary.kelly@outlook.com,+270668578122,Eastern Cape,Nelspruit,5129,100K-250K,Student,374
CUS57695,Jennifer,Rodriguez,8511056086,2001-06-17,F,jennifer.rodriguez@yahoo.com,+270654453626,Mpumalanga,Polokwane,9286,250K-500K,Employed,407
CUS98088,Katherine,Griffith,8502168183,1943-09-06,F,katherine.griffith@gmail.com,+270844599173,Northern Cape,Nelspruit,3446,500K-1M,Retired,496
CUS36458,Kevin,Owens,7311209083,1999-05-06,F,kevin.owens@yahoo.com,+270643197021,North West,East London,7014,0-100K,Employed,738
CUS25487,Kevin,Delgado,9412203088,1999-07-23,F,kevin.delgado@yahoo.com,+270620929212,Gauteng,Bloemfontein,8972,1M+,Retired,421
CUS18331,Melody,Bridges,6502245185,1990-08-30,F,melody.bridges@yahoo.com,+270838900654,Northern Cape,Bloemfontein,6633,500K-1M,Employed,742
CUS95213,Alyssa,Williams,8001024083,1954-12-25,M,alyssa.williams@gmail.com,+270793120219,Gauteng,Port Elizabeth,4777,500K-1M,Student,554
CUS49804,Emily,Cummings,9003227185,1975-10-21,M,emily.cummings@outlook.com,+270834079638,Free State,Johannesburg,2000,1M+,Employed,504
CUS26812,Brett,Miller,7503035088,1945-05-28,F,brett.miller@gmail.com,+270812347449,Northern Cape,Port Elizabeth,2355,0-100K,Student,539
CUS65286,Gilbert,Hernandez,7904059180,1948-05-07,M,gilbert.hernandez@outlook.com,+270612584155,Gauteng,Polokwane,8983,250K-500K,Student,528
CUS86251,Samantha,Johnson,7906099089,2001-03-08,M,samantha.johnson@yahoo.com,+270849322037,Western Cape,Johannesburg,5087,0-100K,Employed,476
CUS64305,Morgan,Hayes,8904072086,1993-05-22,F,morgan.hayes@gmail.com,+270737671869,Northern Cape,Pretoria,5196,250K-500K,Self-employed,660
CUS37268,Anne,White,9004110089,1980-01-24,M,anne.white@yahoo.com,+270685053605,Western Cape,Nelspruit,2656,500K-1M,Employed,441
CUS28623,Phyllis,Anderson,9509032182,1978-02-02,F,phyllis.anderson@yahoo.com,+270843977447,Mpumalanga,East London,4359,100K-250K,Self-employed,583
